text,label
tidak bisa jatim kah,negative
mantap mudah,positive
transaksi cepat bagus,positive
batu bagus tahan,negative
semoga dinpertahankan sistem,negative
lemott,neutral
percaya tangan lambat tangan,positive
atas lupa ribet banget prediksi wajah gagal sudah wajah ribet masuk teman sudah nomer teman benar tetap salah menyesal pakai ribet,negative
tingkat,positive
kacau tidak bisa dipakai transaksi transfer tanggap,positive
manfaat,positive
transaksi pakai qris suruh hubungin cs tidak respon sama sekali saldo lumayan dana,positive
semoga lengkap,negative
begitu bang hilang ku,negative
mudah mebantu transaksi tunai,positive
pas unduh banget jaring,positive
saldo tidak,negative
isi pulsahangus hasil transaksi tidak kirim nomer hangus,negative
layan bagus,negative
saya kasih bintang,negative
semoga manfaat,positive
daftar aneh,negative
kasih bintang tolong guna kasih,positive
lemot saldo,negative
tidak buka,negative
layan bagus respon lapor langgan muas bilang lambat,positive
enak pakai urus cepat mengunakan,positive
mabtap,neutral
oke,positive
masalah atmi cepat kirim,negative
mantap sukses,positive
buat sakit kepala deposito judi,negative
paylater,neutral
kena potong,negative
bagus cepat,negative
ganteng tidak apa ff,negative
bantu masuk akun pakbu soalny tidak masuk akun sendiri,negative
benar akun beku uras emosi,negative
logout tidak buka suruh update padahal terbaru tolong baik cepat,positive
puas bantu,positive
bantu transaksi,positive
mah curi jalan pura pura buat guyss contoh lenyap hubung balassemoga melarat turun tipi gaya lu bodong,negative
beli bukaan,neutral
usaha,negative
,neutral
satset,neutral
bantu mudah bayar,neutral
mudah tugas,positive
sngat bantu,negative
kesini akun mudah dihack saldo sisa nol alami rugi lapor tanggap handphone hapus guna,negative
memang keren,positive
lemot jagat rayamau kasih bintang,negative
tidak kirim mengirimi bom masuk akun,negative
mantap andal,positive
terima kasih mudah transaksi,positive
saja dah tidak jelaslain kali benerin boleh,negative
kenapa masuk,neutral
akun saldo,positive
bisnis nunggunya,positive
aplikasi muas biar bintangnilai,positive
nagantuk,neutral
saldo transaksi batal,positive
mudah cepat pakai,positive
mantp bagus,negative
lambat bodong korbangayanya dompet digitalsaya rekening mandiridi status hasil kirim tapi rekening masukmana tangan,positive
terusy,neutral
memang mmbantu,positive
manfaat mudah untuk transaksi,positive
pokok ok,positive
kebu terus nya,neutral
praktis bantu banget,positive
tidak bagus tidak karuan nomer benar daftar nama,negative
transaksi nominal cuman beli kfckarna anak kostuang harga mohon tunggu klarifikasi email terimakasih,positive
aplikasi transfer detik sampai tujuantm,negative
mudah transaksi mantaaaabs,positive
terima kasih mmprmudah,positive
mantap jos,positive
guna banget,positive
transfer ktp transfer transfer,neutral
muas,positive
mudah urus keluarga shank,positive
isi saldo tidak masuk semua sudah krimchat dancsvia emailtelpon csrespon siput lambat untung recehcoba juta rugi tidak baliksaran ganti ewalletmutu,negative
banyak kode sms tolong kembali,negative
akun,neutral
sampahmau ubah nomor telepon tidak bisa alas gagal,negative
kasik bintang saja heran setela saya kasik masuk kode pin salah saya kasik masuk tolong perbai dong,negative
bagus banget kirim,neutral
akun masuk tulis akun tolong bantu email balesan lemot juga tidak susah saldo kacau kacau,negative
nicr,neutral
menyesal unduh sudah tidak bisa salah ana gajelass,negative
bobrok terus isi,negative
tolol tidak jelasjelas ktp wajah asli nomor hilangmau verifikasi nomor tidak bishabisa tidak guna,negative
tidak buat kemarin transaksi google kemarin transaksi google tidak langgan apa cek playstore apa tidakkait banget transaksi terang langgan inimah bantutidak pakai ovoy,negative
lumayan tidak ribet,negative
pokok rekomendasi banget aplikasi,negative
walet,neutral
coba,positive
bantu tidak ribet terima kasih,negative
enakeun,neutral
kecewa tibadi blokir situ uang kasihh kasih kasihh hilang,negative
mohon maaf kak iring kembang tolong proses loadingnya tingkat transaksi alami semoga baik,positive
transaksi sukses transfer rekening tuju saldo masuk,positive
paylater muncul muncul suka banget fitur paylater hormat tolong muncul paylateryoy,negative
mudah kualitas,positive
etah lemoty,neutral
saran guna aplikasi kecewa,negative
cair bisnis tunggu uang tunggu hari proses cair,neutral
bagus,negative
kesini ribet transaksi,neutral
tidak verifikasi,negative
tolol aplikasimasa akun beku sebaby,negative
dari rekpon cimb niagamalah kga danapdhl sudah brhsil dari cimb nyapayah nyasar kemana wahwahwah,negative
bagus kadang kirim muat cek riwayat transaksi,positive
cepat multifungsi,neutral
ganggu pula sekarang aneh,negative
sudah enak mudah pagami tidak pakai kia,neutral
bagusbayar listrik tanggal sampai sekarang masukdan saldo belum kembali,negative
lumayan bagus,negative
plisss laah haruss sih proses cair saldo bisnis butuh ya memang sih bayar pakai ya usaha cepetlah proses hufft semoga baik,neutral
transaksi uang mudah murah berkat tidak menyesal unduh,positive
waduhbanyakngerating uninstall,negative
mudah transfer,positive
transaksi muncul muncul danapaylater,neutral
sulit transfer kirim uang teman tidak terima uang,negative
memang ok,positive
madeppppp,neutral
bantu aplikasi bagus,negative
aplikasi oksangat membantumakasih,negative
praktis aman kirim uang cepat sekali,positive
pulsa tanggal sampai belum masuk masuk tolong solusi,negative
mantaplama kendala,neutral
transaksi susah masuk,positive
buruksudah isi saldo ulang tidak akun belum gunakanpadahal pakai sudah tahun,negative
ganti nomor hilang samavsusah banget,negative
sedang nonton film,neutral
ok ok,positive
cepat layan ok jangan ragu transaksi tarik ok,positive
sukses,positive
bagus eror kirim saldo kurang masuk rek tuju telepon cs sudahemail sudah tetap belum hasil sudah,positive
lemot banget lupa mas tidak castamer servis tidak respon,negative
asik,positive
saya tidak masuk,negative
mantap praktis,positive
tolong tambah fitur payleter penguna akun premiuntransaksi cs,neutral
lebi mudah transaksi,positive
tidak uppadahal saldo,negative
unduh masuk apknya tidak sampai hhabis,negative
lambat,positive
lambat lambat,positive
transfer payah,neutral
jel masuk sudah,positive
terbaek,neutral
transfer btn tanggal meisampai sekarang belum masuk ajaketerangan proses ajagmniniudah,negative
saldo tbtb hilang tahu transaksi banget hubung cs enggak respon,positive
bantu kirim,positive
nama hilang komplain transaksi fiktif csnya tidak akses sembarang tolong bantu rugi bantu dong csnya tidak akses aduh kacau,negative
maling tidak transaksi saldo saya hilang,negative
maaf servernya guna setia harap ngumpulin mohon baik cepat alat bayar utama,negative
mantap suka,positive
muda belanja,negative
terima kasih,positive
puas dengan,positive
bagus kadang pas buka beli pulsadata,positive
nyangkut tidak bisa terus,negative
manfaat mudah mana,positive
lemotttttttt,neutral
kacau beli deals transaksi muncul rugi cs ribet aolusi kacau,negative
kecewa hapus nomor beli cepat hubung tidak tidak komplain whatsapp tidak tidak nyuruh komplain email lanjur kecewa,negative
nabung,neutral
muncul notifikasi salah jaring hapus ulang uninstal ganti jaring wifi jaring jaring seluler balik laku komen balas pusat bantu respon luah atas butuh proses abad,negative
lapor saldo tambah,positive
mantaps,neutral
hhh,neutral
susah banget kendala,negative
kelass,neutral
kecewa dengan cskasih lapor prihal akunbeku menunggu kerja ubah lapor email livi cs cht menghilang respon tolong respon lapor masak respon,negative
nyangkut minggu hubung bayar sekolah transaksi aman nyaman apa benerin bebasdrama uninstall,positive
bagus banget,negative
buka,neutral
akun beku mohon kerja,neutral
mohon buka lancar,positive
amannan bagaimana saldo saya kuras google,negative
tolong baik jaring bagus lemot banget buka,negative
bantu banget aplikasi mudah,negative
transfer tolong kondisi,negative
lumayan tolong kuat sistem kemanannyam,negative
sinkronisasi beli,positive
donlowd installl installl buka dana dikelurin terima tamu rumah larang masuk,positive
kenapa verifikasi masih belum tolong bantu sekarang aneh banyak kurang,negative
kadang lemot beli pulsa,negative
tidak bisa aneh memasuki handphone pas tekan masuk masuk,negative
keluh pokok bestlah,neutral
tidak transfer,negative
semangat karya semoga sukses sehatbahagia tambah barokah mudah urus terimakasih kartu transaksi emoney mohon baik kerja sistem buka danadan ikut aturandan buka mohon cerah terimakasih,positive
cekkk lagi,neutral
baik lagi tixid mudah buat langsung lokasi,positive
apknya mantap banget,positive
simpan nyaman,positive
aman menyimpan,neutral
plin plantanggal hasil tanggal gagal nyakalau gagal bilang dongbikin ribet guna,negative
pasang handphone,positive
tidak buka nmor sandi tapi tetap tidak buka,negative
unduh terllu terus klaw ganti handphone cepat terhandphoneus katanya diroot lah,negative
okokokkkk,neutral
siiiip mantap amanah,positive
sudah didownload tidak,negative
beli pulsa gagal sampah,negative
mntp,neutral
apknya jelek akun saya tidak ulang,negative
aman,neutral
mudah transaksi,positive
keluh tanggal respon tfon cs nghabisin pulsa jalan,negative
saldo refun transfer sampai sekarang,neutral
lumayan cepat,negative
sebar kaget nah pencet pas pencet buka,negative
jelek eror,negative
hilang akibat lala bayar langgan tagih tampa konfirmasi milik akun bayar tampa konfirmasi milik akun ajak henti sebeb cuman mohon konfirmasi jelas,negative
aneh dari tawar pinjeman terus saya minat eeh akun saya beku bangkrut,negative
enggak masuk tuju konfirm cs dahulu,neutral
ok puas,positive
bangkai buat servernyabagus ganggu buat susahhh,negative
danase enak tahan sudah semingguuang dupulamgin,positive
raib stelanh premiumdi aplikasi lazada batal sana uangsaya,negative
bayar cicil montor bayar asil cicil bayar respon cuman kembali langgan kecewa saldo tolong kembali,negative
aman hidup,neutral
guna manfaat trimakasih,positive
terima kasih semoga sukses,positive
suka,positive
kecewa hhabis tarik balikin,positive
ewalet baik,positive
baikdan batu,neutral
tidak terap bayar kredivo pakai,negative
pakai jaring putus sinyal bagus kuota payah,negative
memabantu,neutral
hhabis dupgrad dbuka jelek solusi gimana biar dbuka,negative
hohhhh,neutral
kecewa potong tidak kirim potong,negative
sangkot angus,neutral
bom bikin pakai nomormemasuki komplain layanin,negative
terimakasih,positive
memasuki benar tetap sesuai tidak,negative
bantu keren,negative
uu,neutral
nokoment,neutral
menarik ganti ribet banget ktp muka tetap eror,negative
aplikasi mantaptidak rekening dengan juta syarat mantap nya poolllapalagi dalam papua membantuy,positive
aman jaminhilang akibat akun dihack,negative
saran bagus karena loginy,negative
tolong lapor kendal transaksi tolong jelas tanggung,negative
,neutral
goood,neutral
mantap gratis,positive
keren mantap,positive
proses riwayat transaksi muncul masuk transaksi,positive
verifikasi gagal teross dilayanin alhasil jebak apai lagi verifikasi ribet pokok pakai dompetlain,negative
masuk tolong bayar pakai,negative
transaksi saldo kurang tindak,positive
benar untung,neutral
mantap cepat aman,positive
kirim akun shoppepay masuk konfirmasi merespon mohon jelas,positive
daftar kalitapi ribet,negative
godd,neutral
mengirim buka lambat,positive
alah sih cewek saya hilang ribu hecksaya sudah percaya sudah saya merasa hilang ribu sudah malas dompet alhhh saran sayah tidak pacar sayahkoribuan berani sumpah saya menyesal mohon maaf kata sayah senang kanmmenyesal,negative
transfer susah kemarin kayak tunggu rek tuju beda nomor terus tidak respon hadeuhh kesini kesanaw,negative
masuk tolong baik cepat,neutral
woi tipu,neutral
bagus mas mudah,positive
muas jaga aman pokon,positive
ngabarin cs akun nya buka saya ambil saya respon juga,negative
puaaaaaaaaaaasy,neutral
banget,neutral
trnsaksi bayar muncul,negative
kirim admin,positive
enggak buruk,negative
setan kemarin tidak masuk,negative
lihat komen banyak banget alhamdulillah tidak tapi tolong buat biar shopeepay,positive
sistem sibuk lagi,negative
susah sudah coba bolak gagal terus,negative
dikta pernah kerja perusahaan industri pabrik tekstil,neutral
handphone tidak buka tolong bantu admin,negative
manfaat terimakasih,positive
dompet akurathanya lamban,neutral
semoga transfer slllu,neutral
cepat,neutral
setan ganggu trusslsibuk ttus kalau orang urget susah banget mengirim mending hapus aplikasi,negative
sampah ajing saldo saya hilang isi pulsa eenggak masuk isi ulang baca eenggak masuk begitu bangkrut,negative
beli pulsa tidak masuk masuk bantu sabar terus tidak,negative
madagascar,neutral
proses resolusi,positive
mempermudahh,neutral
terima kasih bantu untuk bertrasaksi,positive
semoga jaya,positive
perffect,neutral
paket paylater tidak pernh jelk,negative
sampah susah ampun,negative
profesional kirim keluh kena tipu respon kayak anggota dpr lemot,negative
mudahcepat,neutral
ajar ktp umur tahun,neutral
tolong cepat mudah pindah akun,negative
salah isi ulang nomer daftar telepon email tunggu tidak ganti kecuali terima salah sedia kembali pertanyaanya tidak daftar sekarang tunggu konfirmasi sangkut sehat kah,negative
bagusssss,neutral
bantu mudah transaksi bayar,positive
guna tolol jaring sistem sibuk,negative
semakin aneh updateupdate tidak masukloading padahal saldo mas,negative
tingkat kualitas cs cs cs tutup obrol selesai,positive
daftar,negative
mantaaaaaap,neutral
transaksi hasil paket beli masuk,positive
emang,neutral
bagus saya srnang,negative
manrap,neutral
tolong,negative
mudah bertransaksi,positive
komen,neutral
tolong tindak lanjut lapor aduh saldo hilang transaksi kenal kirim lapor aduh lengkap tindak tingkat layan customernya hati hati nasabah silah berpikir ulang selesai,positive
cepat aman,neutral
bantu mudah,positive
isi saldo tidak masuk emoney tidak masuk tanggal masuk alih tidak bantu,negative
ribet transfer akun tidak saingtidak ribet,negative
puasy,neutral
akun kena spam muncul akun pakai coba hubung cs email jejaring sosial tidak respon tangan malu sesal,negative
sih pas daftar foto selfie bilang koneksi internet wifi bagus jaring lancarr sulit sekaliii,positive
tolong capthca verifikasi expired baik kirim pusat bantu selesai ktp,positive
aplikasi mantap rekomended banget,positive
puas banget bagus,positive
tidak beli paket tunggu masuk ana tidak,negative
intal,neutral
terima kasih bantu,positive
bobroktidak tanggung,negative
bagus kartu kartumasalahnya tambah,positive
kesini lemott laggg tolong baik,neutral
saran saya bayar transaksi qris langsung masuk rekening saldo tunggu umkm butuh mutar cepat banyak belipakai,negative
rungkat,neutral
ngendap kirim otp nomor aktip,positive
tujukemari jelek buka koneksi internet putus kuota sinyal bagus jelek diupdate bagus jelek,negative
transaksi mudah,positive
tlng baik makin lemot ajahrs hpskalau pkedownload juga lama jaring,negative
sszsss ssssstmssss sszssssss szssss,neutral
hilang transfer riwayat trasaksipun hebat,negative
saldo potong masuk rekening turun layan,negative
banget transaksi tidak buka sistem sibuk bintang,negative
ewalet jelektransfer masuk saldo hilang banget hilang transaksi maaf hapus kecewa daftar,negative
curang saldo detik ubah riwayat bayar google beli google pas cek riwayat sumpah allah ikhlas manipulasi hilang tolong,negative
sih potong saldo beli kuota telkomsel masuk tidak,negative
mudah kirim,positive
amanmengirim otp pakai nomer usaha saya hilang tidak urus minggu janji janji protexsion,negative
oerbaiki terus kalo kasih pitur pinjam,positive
mudah transaksi makasiihh,positive
saldo surut terussetiap upppasti saldo mengurangmengecewakan,neutral
kecewa transaksi tibatiba transaksi googlematchup transaksi verifikasi kecewa penangana ampun,positive
mudahy,neutral
lemot banget,negative
kesini layan jelek banget eror lemot banget transaksimasa beli pulsa tidak masuk masuk saldo tidak ampas,negative
bantu saya eror sinyal sinyal bagus mohon jelas,negative
lumayan,negative
tolong perbaikisemakin kesini jelekmakin ribet,negative
tolong baik dzolim manusia orang sudah percaya dusta kasih cepat,positive
bantu repotke rumah transaksi uang,positive
bagus saran mohon memperbaiki fiturfungsi bayar pdam daerah fungsi,negative
apali,neutral
bagus banget bebas unlimit,negative
nya bagus bantu,negative
keren hhabis,neutral
woilah,neutral
jaring bagus muter muter,positive
bantu terima kasih,positive
klik lupa hubung consumen servis tetap tidak bukaudah uang ngendap tidak,negative
ngumpulin lencana suruh tanggal lencanya ganti klaim,negative
admin tolong baik aman saldo kirim pulsa verifikasi anyinggggh,positive
bestg,neutral
goodjob,neutral
investasi hilang mengira benaran kaget danaternyata hilang ditipuy,negative
mudah transaksi kirim uang teman gampang,positive
ofkorsss,neutral
nomor,neutral
kemarin premium suruh,neutral
bantu kasih solusi tipu biar transaksi tunggu,positive
nyaman cepat banget,positive
senang,positive
erwin,neutral
versi skrngg lemot susah orang orang rasa tolong kembali versi dahulu versi begini,negative
satidak shopepay,negative
ayh bintang dah,negative
tanggal beres,negative
simpel,positive
indak terdownload,neutral
tidak jangan dipakai lagi,negative
isi saldo tanggal wib sampai belum lapor juga tidak reponuntung isi saldo,negative
aman uwang,neutral
busuk,negative
mantap job lancar amanah,positive
lambat transfer masuk muncut mbanking kirim saldo potong dana enggak lemot resah naro,negative
memang sudah saya hapus ulang tidak masuk apasaya buka appstore tidak nama masuk apa mata,negative
coba aladin syariah diadain,positive
saya tidak lupa,negative
ganggu,negative
mantapa,neutral
castamer sedekah saja saya bantu transaksi selalu gagal dengan alas aman,negative
mantuull,neutral
masalah semoga cepat tangan biar makan korban,negative
tolong saldo transaksi transaksi rekening annisa firdaus,positive
kasih,positive
rekomen banget pakai hilang komentarhilang akun terima kasih pakai transaksi,neutral
asu tidak kualitas bangetlodingnya potong isi njing kirim babi lemot ampun,negative
gembellllll eror,negative
ribet gagal hubung castamer servis hubung mintak untung suami mengirim saldo dikit,negative
bantu balas nya lupa susah tolong baik,negative
loginpadahal versi baru,neutral
mengirim gagal buruk,negative
senang pakai terima kasih,positive
saya ponsel,negative
ban sulit,neutral
install,neutral
mantap semoga terus maju aplkasi,positive
sulit kirim malam,positive
kesini burukakun hilang masuk verifikasi biometriktolong kembali lagi verif biometrik wajah,negative
maaf kak sudah transfer tapi tidak tolong respon lagi,negative
mntap,neutral
bantu masuk akun,negative
tolong bantu tidak mengirim mbak tolong bantu,negative
apknya leletnyabugnyaterus akun hilang sudah gilah sih,neutral
ganggu bingung mengirim hhabis tinggal saran baikunduh,negative
tolong akun aktif fitur paylater,negative
susah,negative
semoga depan,neutral
akun bobol saldo,negative
transaksi bni gagal,neutral
bantuatm,negative
odok,neutral
maaf turun bintangudah kenpa nurunin bintang paham,negative
tolong untuk lali googlenya masuk,negative
puas akun,positive
kesini erorhadeh,neutral
guna lamaterakhir baca tunggu transaksi tuju alas tuju coba kemajuansaya kecewa,positive
kontoll,neutral
transfer,neutral
lambat merespon keluh isi ulang pulsa masuk tim tindak,negative
bagus simpel,positive
coba apdet,positive
biaya admin isi ulang biaya admin,negative
puas banget mudah,positive
akun tidak masuk,negative
susah transaksi gagal,negative
oky,neutral
transaksi hasil masuk rekening tuju,positive
isi ulang tidak masuk,negative
begitula,neutral
menyarankan bayar kartu kredit walet masuk masuk enggak wasalam,negative
tidak buka keluar terus,negative
markotop,neutral
mudah apa pakai,neutral
kok tidak buka daftar susah,negative
mantulll,neutral
tolong baik minmasa lagi,negative
jangan ragu untung,negative
masuk ken ganti tidak bisa kocak cocokkkkkkkkkkkkkkkkk,negative
haaaq,neutral
nya tida buka elorr kenapa ya,neutral
lemot transaksi transfer susah ampun terus semoga hilang banyak akun,negative
mantap polllllllll,positive
gagal masuk bossssssss,negative
okay sgala transfer trimakasih,positive
mudah urus sip,positive
dongo nginstal hadeuhhhh,neutral
sistem sibuk isi ulang langsung masuk pemberitahuan tapi saldo belum menambah tolong baik beberap kayak ganggu merespon,negative
layan cs lemotttttttttt,neutral
saya sayay,negative
refferal,neutral
enggak buka,neutral
jangan potong,negative
ol,neutral
mantap mantap pokok mudah dim,positive
ok mntap,positive
mantap aplikasinyasemuabutuhkn cepat trimah kasih penbuat aplikasih danaslm sukses,positive
kenapa tidak,negative
mmpermudah,neutral
potong,negative
mencrett berakk tidak unduh,negative
suka cepat proses,positive
benar sesuai komentar menyesal pakaj saldo akun hilang ganti nomor tidak respon tidak,negative
bijak,negative
susah bos susah masuk buka tolong bos bagus juga banget atm,negative
mantull,neutral
eeenggak amanah kirim eeenggak masuk rekening udahbuat lapor selesai eeenggak rekomendasi,positive
sendiri handphone saya,negative
lupa susah,negative
lemot banget baru bagus jengkel lemot bangsad,negative
rujit babi,negative
macet sudah diupdate transaksi,positive
mangkin kesini mangkin rusak nyawoy butuh pelancar transaksi hari,neutral
ganggu isi tidak ngehank,negative
tolong barusaja apdet masuk alasanya beda nama uang hilang,negative
aplikasi sudah bagus sampai,negative
kasih bagus,negative
elektronik tambah flazz bcatapcash bni brizzi bri mony mandiri,neutral
istimewa,neutral
responsif,neutral
tidak unduh,negative
tidak bisa harap baik,negative
pakai hilang akun kirim kirim aman kesini aman tolong tindak lanjut ngeri naro akun,negative
isi pulsa proses lapor admin mohon sabar melulu,negative
tolong tingkat aman saldo hilang,neutral
suami hilang juta tidak tapi transaksi shopeepay suami tidak aplikasi shopy lapor bobol aman hilang jm pagi tahu jm malam kemarin tanggal,negative
isi pulsa gagal,negative
ngentd terus puqi ayam,neutral
jelekkkkk banget saldo hilang,positive
payleter semoga cepat,neutral
mantaf,neutral
sni enggak jlas trx masuk enggak saldo malah potong gilir dichatbalas melulu ingat trx sudah mana hasil nya enggak suruh menunggu biar terus lupa enggak cukup lebih enggak iklas dunia akherat balikin saldo,negative
hilang dalam gmail tidak respon tolong lanjut,negative
eek,negative
mudah aflikasi,positive
mudah transaksi pokok rekomendasi mantap,positive
elor tidak masuk,negative
debesd,neutral
donwload buka enggak apky,neutral
alhamdulillah bagus,positive
buka handphone,neutral
bingung banget tidak buka apknya bayar,negative
potong kesini susah naro didanay,negative
coba bagus tidak ch,negative
transaksi nyangkut,positive
mohon bsi syariah indonesia kak,neutral
bintang,neutral
lambat jaring oke menyusahkan admin tolong lagi perhati aplikasi,negative
membabtu,neutral
bayar,negative
bagus jadi mudah simpan,negative
buruk isi saldo kirim saldo hhabiss tolong iya sengaja telan saldo hilang transaksi apa,negative
lancar,positive
susah donlemotya,negative
eror tidak,negative
curi saya kirim saldo terang sukses saldo masuk pakai najis maling woy tailah saya segitu gitunya makan najissssss,negative
gagu jaring,neutral
maaf tarik bisnis tidak kakak,negative
bjuhs rumah situ sayga,neutral
bantu bagus,negative
buat lapor email respon tiket,positive
akun kasih hari tidak buka aplikasi masuk kode anneeh,negative
enak gopay,positive
muas aplikasi danay,positive
jos,neutral
transaksi tampa ribet mantap,positive
kesini bukan nyaa bnyaak perbaikanmalah payahaplikasi lemottiap klik kirim lambat respon nyaa payah,positive
lemot banget susah buka,negative
lambat banget menanggapi keluh email respon butuh banget saldo,negative
akun blok verifikasi hasil hubung kirim keluh kirim alas hhabis,positive
tanggal akun buka saldo buka tanggal dengan nomor daftar guna mohon periksa cs telp nomor ganti info tanggal guna dari saldo saran saldo dengan mudahnge rubah nomor tapi verifikasi nomor sebelumnya,negative
kembali karena gagal isi etol masuk,negative
biar bintang bicara enggak percayah ragu lagilangsung unduh,negative
tidak masuk,negative
sistem sibuk,negative
berkalikali,neutral
mantapy,neutral
tidak bisa versi baru suruh vers baru,negative
lupa tapi bantu sampai bom aktif bintang pulih tambahkan bintang,negative
saldo kuras transaksi sedot wc,positive
bertanyatanya,neutral
mantap guna untuk nabung,positive
kesal saldo lenyap hilang tolong admin,negative
buka terinstal,neutral
baik fitur kirim menunggu menit buka pelan terima kasih,positive
jaring lancar jaya pas dalem enggak jelas kesini karuan,positive
membantutolong kasih danapaylater nyadi akun sayah,positive
aplikasi ribet proses,negative
dompetmemang,negative
heheheha,neutral
sruput,neutral
tidak bisa daget coba kali tidak,negative
selalu susah selalu,negative
bagusdan potong admin,negative
tolong dikembaliin tanggung,negative
terbaekk,neutral
launching infinix uang lancar pas singkron saldo lemot tidak mampan buka tutup namanama klik ngefreeze saran baik sampai enteng,negative
jadi jelek banget ribetjadi potong susah banget poto ktp susaaah masuknyaada modus uninstal,negative
saldo sedot enak jidat transaksi verifikasi muka saldo hilang ambil ribu bro,positive
kena aplikasi buka,negative
mudahlebih hematmantapy,neutral
erorpadahal tolong baik trasfer susah banget kecewatidak guna hadeh,negative
sngat bagus,negative
tross,neutral
saldo kesodot transaksi,positive
hari tidak buka ulang ribet,negative
semoga pakai paylater,neutral
bagus jelek bantu tidak tanggap,negative
kenapa saldo kurang terus tidak transaksi,negative
ngartis anjing admin,negative
okehh,neutral
nyangkut merespon,positive
lupa sandi rubah kenapa tidak hubungin ana bagaiman pils kasih,negative
selalubaik,negative
kecewasaya lapor masuk saldo,positive
sip,neutral
tukar poin enggak bisamau tukar sedot poinkacau,negative
kasih bintang,positive
mantap jiwa,positive
transaksi aman,positive
lemotburuk,neutral
lengkap,negative
buka buka,neutral
isi pulsa klik bayar saldo langsung cs kekeuh bilang saldo,negative
semenjak kuisntal aplikasih bantu,negative
suka terang proses saldo kurang kirim,positive
salah,negative
buruk layan cs emoney hati hati tangan simpan kalau hilang ngadunya,negative
dasar monyet susah banget,negative
juooozzzy,neutral
pernah pergi pasar,neutral
tolong lemot,negative
hasil masuk rekening riwayat tanggap,positive
